Date,Open,High,Low,Close,Adj Close
5/19/2016,203.5,228.199997,200,224.100006,224.100006
5/20/2016,234.100006,235,225.600006,227.800003,227.800003
5/23/2016,247.800003,248.399994,223.5,227.5,227.5
5/24/2016,219.600006,220.399994,209.800003,213.699997,213.699997
5/25/2016,213.699997,222.300003,206.399994,216.800003,216.800003
5/26/2016,213.300003,221.600006,205.5,211.600006,211.600006
5/27/2016,214,224,211.600006,215.5,215.5
5/31/2016,242.600006,257.600006,237.600006,249.600006,249.600006
6/1/2016,277.899994,285.700012,265,284.600006,284.600006
6/2/2016,285.899994,299.5,278.5,291,291
6/3/2016,301.700012,305.600006,286.200012,290.600006,290.600006
6/6/2016,294.299988,316.399994,290.700012,313.799988,313.799988
6/7/2016,300.100006,322.5,300.100006,320.5,320.5
6/8/2016,319.600006,324.899994,309.600006,312.899994,312.899994
6/9/2016,312.700012,375.600006,308.5,365,365
6/10/2016,360,360,341.700012,351.299988,351.299988
6/13/2016,365.299988,370.700012,348.899994,359,359
6/14/2016,350.100006,366.299988,347.700012,358.700012,358.700012
6/15/2016,365.100006,370.600006,351.200012,353.399994,353.399994
6/16/2016,352.299988,368.5,336,347.700012,347.700012
6/17/2016,352,368.799988,350.200012,368.700012,368.700012
6/20/2016,372.399994,408.600006,371.399994,399,399
6/21/2016,404.600006,421,398.700012,411.100006,411.100006
6/22/2016,415,416.299988,368.100006,374.700012,374.700012
6/23/2016,368.600006,395,352.100006,383.700012,383.700012
6/24/2016,370,383,366.200012,369,369
6/27/2016,388.200012,397.200012,373,396,396
6/28/2016,426,453.399994,419.799988,448.200012,448.200012
6/29/2016,462.5,462.5,429.399994,435.700012,435.700012
6/30/2016,452.700012,475.5,437.5,463.100006,463.100006
7/1/2016,452.399994,501.799988,451.399994,497.5,497.5
7/5/2016,415.100006,416.299988,380.200012,383,383
7/6/2016,375.700012,398.399994,372.600006,398.299988,398.299988
7/7/2016,411.600006,417.700012,369,386.799988,386.799988
7/8/2016,396.799988,405.5,390.399994,405.5,405.5
7/11/2016,400,400.700012,356,362.700012,362.700012
7/12/2016,370.5,375,351.600006,371.799988,371.799988
